source_file,chapter,ordinal,line,label,caption,tikzpicture_count,axis_count,addplot3_count,minipage_count,true_3d,true_3d_signals,semantic_3d_review_candidate,unterminated
appendices/appA-algebra.tex,,1,322,fig:completing-square-vertex,Completing the square reveals the vertex and the minimum value.,1,1,0,0,False,,False,False
appendices/appA-algebra.tex,,2,1161,fig:absolute-value-distance-appendix,Absolute value inequalities are distance statements.,1,0,0,0,False,,False,False
appendices/appB-coordinate-geometry.tex,,1,69,fig:appendix-slope-rise-run,Slope measures vertical change per horizontal change.,1,1,0,0,False,,False,False
appendices/appB-coordinate-geometry.tex,,2,439,fig:appendix-line-intercepts,The intercepts are often the quickest way to sketch a line in general form.,1,1,0,0,False,,False,False
appendices/appB-coordinate-geometry.tex,,3,661,fig:appendix-circle-center-radius,"The circle \((x-2)^2+(y+3)^2=25\) has center \((2,-3)\) and radius \(5\).",1,1,0,0,False,,False,False
appendices/appB-coordinate-geometry.tex,,4,878,fig:appendix-parabola-vertex-form,Vertex form shows the shift and stretch immediately.,1,1,0,0,False,,False,False
appendices/appB-coordinate-geometry.tex,,5,1041,fig:appendix-ellipse-standard,The ellipse \(\frac{x^2}{9}+\frac{y^2}{4}=1\) has semi-axis lengths \(3\) and \(2\).,1,1,0,0,False,,False,False
appendices/appB-coordinate-geometry.tex,,6,1182,fig:appendix-hyperbola-asymptotes,A hyperbola approaches its asymptotes but does not cross them far from the center.,1,1,0,0,False,,False,False
appendices/appB-coordinate-geometry.tex,,7,1430,fig:appendix-distance-formula,The distance formula is the Pythagorean Theorem.,1,1,0,0,False,,False,False
appendices/appB-coordinate-geometry.tex,,8,1671,fig:appendix-parabola-shift,Replacing \(x\) by \(x-3\) shifts right \(3\); subtracting \(1\) shifts down \(1\).,1,1,0,0,False,,False,False
appendices/appB-coordinate-geometry.tex,,9,1914,fig:appendix-sqrt-shift,"The starting point of the square-root graph moves from \((0,0)\) to \((2,1)\).",1,1,0,0,False,,False,False
appendices/appC-trigonometry.tex,,1,84,fig:appendix-unit-circle-arc,"On the unit circle, radian measure equals arc length.",1,0,0,0,False,,False,False
appendices/appC-trigonometry.tex,,2,257,fig:appendix-sine-cosine-coordinates,The cosine is the \(x\)-coordinate and the sine is the \(y\)-coordinate on the unit circle.,1,0,0,0,False,,False,False
appendices/appC-trigonometry.tex,,3,529,fig:appendix-sine-cosine-graphs,Sine and cosine are periodic because the unit circle repeats after a full turn.,1,1,0,0,False,,False,False
appendices/appC-trigonometry.tex,,4,1562,fig:appendix-arcsin-graph,"The inverse sine reverses the restricted sine function on \([-\pi/2,\pi/2]\).",1,1,0,0,False,,False,False
appendices/appD-proofs.tex,,1,188,fig:rational-hole-sqrt2,"The set of rational numbers with \(x^2<2\) points toward \(\sqrt2\), which is missing from \(\mathbb Q\).",1,0,0,0,False,,False,False
appendices/appD-proofs.tex,,2,471,fig:monotone-sequence-approaches-sup,An increasing sequence trapped below an upper bound must approach its least upper bound.,1,1,0,0,False,,False,False
appendices/appD-proofs.tex,,3,750,fig:nested-intervals-shrink,Shrinking nested closed intervals trap a single real number.,1,0,0,0,False,,False,False
appendices/appD-proofs.tex,,4,802,fig:bolzano-crossing,A continuous graph that goes from negative to positive must cross the \(x\)-axis.,1,1,0,0,False,,False,False
appendices/appD-proofs.tex,,5,1109,fig:bolzano-fails-jump,A jump discontinuity can change sign without crossing \(0\).,1,1,0,0,False,,False,False
appendices/appD-proofs.tex,,6,1340,fig:evt-maximum-reached,Continuity on a closed interval forces the supremum of the values to be reached.,1,1,0,0,False,,False,False
appendices/appD-proofs.tex,,7,1625,fig:one-over-x-not-uniform,"The function \(1/x\) is continuous on \((0,1)\), but no single input tolerance works everywhere.",1,1,0,0,False,,False,False
appendices/appE-technology.tex,,1,83,fig:technology-window-cubic,The same function can tell a different visual story in different windows.,2,2,0,2,False,,False,False
appendices/appE-technology.tex,,2,194,fig:technology-hidden-hole,A plotted line may hide the fact that the original formula is undefined at \(x=1\).,1,1,0,0,False,,False,False
appendices/appE-technology.tex,,3,244,fig:technology-sampling-oscillation,Sampling too few points can give a misleading picture of a rapidly changing function.,1,1,0,0,False,,False,False
appendices/appE-technology.tex,,4,1337,fig:technology-taylor-polynomials-sine,Taylor polynomials approximate \(\sin x\) best near their center \(0\).,1,1,0,0,False,,False,False
chapters/ch01-velocity-distance.tex,,1,34,fig:dashboard,The odometer records accumulated distance. The speedometer records how fast that distance is changing.,1,0,0,0,False,,False,False
chapters/ch01-velocity-distance.tex,,2,311,fig:constant-velocity-graphs,"Constant velocity gives a horizontal velocity graph and a straight distance graph. The same number \(60\) appears as a height, a slope, and a rate.",2,2,0,2,False,,False,False
chapters/ch01-velocity-distance.tex,,3,603,fig:piecewise-constant-preview,"When velocity changes by steps, distance is built from several straight pieces. Each piece has its own slope.",2,2,0,2,False,,False,False
chapters/ch01-velocity-distance.tex,,4,830,fig:signed-area-motion,"Area above the time axis counts positive. Area below the time axis counts negative. The signed area under the velocity graph is \(80-30=50\), matching the change in signed position.",2,2,0,2,False,,False,False
chapters/ch01-velocity-distance.tex,,5,1151,fig:finite-ftc-step-velocity,Step velocity gives a piecewise linear position graph. The signed rectangle areas \(2+4+1-3+5\) equal the net change \(9-0\).,2,2,0,2,False,,False,False
chapters/ch01-velocity-distance.tex,,6,1593,fig:secants-to-tangent,"As the second point \(Q\) moves toward \(P\), the secant lines approach the tangent line. The slope of that tangent line is the instantaneous velocity.",1,1,0,0,False,,False,False
chapters/ch01-velocity-distance.tex,,7,1695,fig:left-right-area-estimates,"For an increasing velocity \(v(t)=t^2\), left rectangles underestimate the area and right rectangles overestimate it. More rectangles make both estimates better.",2,2,0,2,False,,False,False
chapters/ch01-velocity-distance.tex,,8,1969,fig:first-map-of-calculus,The main ideas of the book are connected from the beginning. The derivative measures local change. The integral accumulates change. Approximation makes both useful. Differential equations express laws in the language of change.,1,0,0,0,False,,False,False
chapters/ch01-velocity-distance.tex,,9,2020,fig:read-trip-speed-graph,Each rectangle gives one signed change in position. Rectangles above the axis count positive; rectangles below the axis count negative.,1,1,0,0,False,,False,False
chapters/ch01-velocity-distance.tex,,10,2164,fig:same-displacement-two-trips,"Two different velocity histories can have the same displacement. Signed area preserves the net change, not the full story.",2,2,0,2,False,,False,False
chapters/ch02-numbers-functions.tex,,1,37,fig:real-line-basic,The real line turns numbers into points and distances.,1,0,0,0,False,,False,False
chapters/ch02-numbers-functions.tex,,2,106,fig:interval-types,Open circles mean endpoints are excluded. Filled circles mean endpoints are included.,1,0,0,0,False,,False,False
chapters/ch02-numbers-functions.tex,,3,225,fig:absolute-value-neighborhood,The inequality \(|x-a|<\varepsilon\) means that \(x\) lies within distance \(\varepsilon\) of \(a\).,1,0,0,0,False,,False,False
chapters/ch02-numbers-functions.tex,,4,494,fig:unit-square-sqrt2,"The diagonal of a unit square has length \(\sqrt2\), the number whose square is \(2\).",1,0,0,0,False,,False,False
chapters/ch02-numbers-functions.tex,,5,631,fig:nested-intervals-sqrt2,"Nested intervals trap one number. For the real line, that trapped point exists. For the rational numbers alone, this example traps a missing point.",1,0,0,0,False,,False,False
chapters/ch02-numbers-functions.tex,,6,1032,fig:function-assignment,A function assigns an output to each input in its domain.,1,0,0,0,False,,False,False
chapters/ch02-numbers-functions.tex,,7,1182,fig:vertical-line-test,The full circle gives two \(y\)-values for many \(x\)-values. The upper semicircle gives exactly one.,1,0,0,0,False,,False,False
chapters/ch02-numbers-functions.tex,,8,1431,fig:piecewise-position-function,A piecewise function can describe motion whose rule changes.,1,1,0,0,False,,False,False
chapters/ch02-numbers-functions.tex,,9,1579,fig:difference-quotient-secant,The difference quotient is the slope of the secant line through the points with inputs \(a\) and \(a+h\).,1,1,0,0,False,,False,False
chapters/ch02-numbers-functions.tex,,10,1710,fig:vertical-horizontal-shifts,Adding outside the function shifts vertically. Changing the input inside the function shifts horizontally.,1,1,0,0,False,,False,False
chapters/ch02-numbers-functions.tex,,11,2048,fig:even-odd-basic,The square function is even. The cube function is odd.,2,2,0,2,False,,False,False
chapters/ch02-numbers-functions.tex,,12,2262,fig:cubic-sign-intervals,"Zeros divide the \(x\)-axis into intervals. On each interval, the graph is either above or below the axis until it crosses again.",1,1,0,0,False,,False,False
