source_file,chapter,ordinal,line,title,duplicate_title_in_file
appendices/appA-algebra.tex,,1,21,Factoring and completing the square,False
appendices/appA-algebra.tex,,2,458,Rational expressions,False
appendices/appA-algebra.tex,,3,718,Exponents and radicals,False
appendices/appA-algebra.tex,,4,961,Inequalities and absolute values,False
appendices/appA-algebra.tex,,5,1290,Sigma notation practice,False
appendices/appA-algebra.tex,,6,1674,Practice problems,False
appendices/appB-coordinate-geometry.tex,,1,29,Lines,False
appendices/appB-coordinate-geometry.tex,,2,585,Circles,False
appendices/appB-coordinate-geometry.tex,,3,808,"Parabolas, ellipses, and hyperbolas",False
appendices/appB-coordinate-geometry.tex,,4,1391,Distance and midpoint formulas,False
appendices/appB-coordinate-geometry.tex,,5,1609,Scaling and shifting graphs,False
appendices/appB-coordinate-geometry.tex,,6,2017,Practice problems,False
appendices/appC-trigonometry.tex,,1,35,Unit circle definitions,False
appendices/appC-trigonometry.tex,,2,571,Basic identities,False
appendices/appC-trigonometry.tex,,3,925,Addition formulas,False
appendices/appC-trigonometry.tex,,4,1453,Inverse trigonometric functions,False
appendices/appC-trigonometry.tex,,5,1831,Trigonometric equations,False
appendices/appC-trigonometry.tex,,6,2203,Practice problems,False
appendices/appD-proofs.tex,,1,28,The Least Upper Bound Property,False
appendices/appD-proofs.tex,,2,408,The Monotone Convergence Theorem,False
appendices/appD-proofs.tex,,3,770,Bolzano's Theorem and Bisection,False
appendices/appD-proofs.tex,,4,1139,The Extreme Value Theorem: Proof Outline,False
appendices/appD-proofs.tex,,5,1432,Uniform Continuity on Closed Intervals,False
appendices/appD-proofs.tex,,6,1799,Practice problems,False
appendices/appE-technology.tex,,1,40,Graphing windows,False
appendices/appE-technology.tex,,2,316,Numerical precision and roundoff,False
appendices/appE-technology.tex,,3,563,Calculator and CAS syntax,False
appendices/appE-technology.tex,,4,840,Simple Python experiments for calculus,False
appendices/appE-technology.tex,,5,1184,"Plotting sequences, sums, and Taylor polynomials",False
appendices/appE-technology.tex,,6,1447,Practice problems,False
appendices/appF-tables.tex,,1,32,Derivative formulas,False
appendices/appF-tables.tex,,2,220,Integral formulas,False
appendices/appF-tables.tex,,3,483,Common Taylor series,False
appendices/appF-tables.tex,,4,693,Series tests,False
appendices/appF-tables.tex,,5,864,Numerical integration rules,False
chapters/ch01-velocity-distance.tex,,1,23,The dashboard: speedometer and odometer,False
chapters/ch01-velocity-distance.tex,,2,273,Constant velocity: where slope and area first meet,False
chapters/ch01-velocity-distance.tex,,3,664,"Forward, backward, and signed motion",False
chapters/ch01-velocity-distance.tex,,4,1002,Calculus without limits: finite differences and finite sums,False
chapters/ch01-velocity-distance.tex,,5,1419,Changing velocity and the need for limits,False
chapters/ch01-velocity-distance.tex,,6,1823,A first map of the book,False
chapters/ch01-velocity-distance.tex,,7,2001,Discovery problems and projects,False
chapters/ch02-numbers-functions.tex,,1,27,The real line and intervals,False
chapters/ch02-numbers-functions.tex,,2,465,Completeness and the idea of no gaps,False
chapters/ch02-numbers-functions.tex,,3,999,Functions as assignments,False
chapters/ch02-numbers-functions.tex,,4,1642,Graphs and transformations,False
chapters/ch02-numbers-functions.tex,,5,2354,Combining functions,False
chapters/ch02-numbers-functions.tex,,6,3202,A catalog of essential functions,False
chapters/ch02-numbers-functions.tex,,7,4148,Models before calculus,False
chapters/ch02-numbers-functions.tex,,8,4847,Technology and graphs,False
chapters/ch02-numbers-functions.tex,,9,5327,Chapter review and discovery problems,False
chapters/ch03-limits-continuity.tex,,1,32,Limits from motion and approximation,False
chapters/ch03-limits-continuity.tex,,2,444,Calculating limits,False
chapters/ch03-limits-continuity.tex,,3,1048,One-sided limits and infinite behavior,False
chapters/ch03-limits-continuity.tex,,4,1881,The precise definition of a limit,False
chapters/ch03-limits-continuity.tex,,5,2597,Continuity,False
chapters/ch03-limits-continuity.tex,,6,3263,Two theorems about continuous functions,False
chapters/ch03-limits-continuity.tex,,7,3856,Warning examples,False
chapters/ch03-limits-continuity.tex,,8,4240,Sequences as limits indexed by whole numbers,False
chapters/ch03-limits-continuity.tex,,9,5015,Chapter review and discovery problems,True
chapters/ch03-limits-continuity.tex,,10,5851,Chapter review and discovery problems,True
chapters/ch04-derivative.tex,,1,19,Average rate of change,False
