task_id,kind,part_or_backmatter,chapter_or_appendix,section_number,title,target_path,source_hint,status,xml_valid,web_build,visual_desktop,visual_narrow,visual_mobile,figures_checked,xref_checked,last_commit,notes
frontmatter-preface,frontmatter,frontmatter,,,Preface,source/frontmatter.ptx,discover in LaTeX source,NOT_STARTED,,,,,,,,,
frontmatter-how-to-read,frontmatter,frontmatter,,,How to Read This Book,source/frontmatter.ptx,discover in LaTeX source,NOT_STARTED,,,,,,,,,
ch01-introduction,chapter-introduction,I,1,,Chapter 1 introduction,source/chapters/ch01-velocity-distance-and-the-first-shape-of-calculus/ch01-velocity-distance-and-the-first-shape-of-calculus.ptx,Chapter-1-draft.txt|Chapter-1-draft.tex|chapter-1-draft.txt|chapter-1.tex,DONE,yes,yes,yes,yes,yes,yes,yes,,Visually verified layout and math formatting.
sec-1-1-the-dashboard-speedometer-and-odometer,section,I,1,1.1,The dashboard: speedometer and odometer,source/chapters/ch01-velocity-distance-and-the-first-shape-of-calculus/sections/sec-1-1-the-dashboard-speedometer-and-odometer.xml,Chapter-1-draft.txt|Chapter-1-draft.tex|chapter-1-draft.txt|chapter-1.tex,DONE,yes,yes,yes,yes,yes,yes,yes,,Visually verified layout and math formatting via workaround.
sec-1-2-constant-velocity-where-slope-and-area-first-meet,section,I,1,1.2,Constant velocity: where slope and area first meet,source/chapters/ch01-velocity-distance-and-the-first-shape-of-calculus/sections/sec-1-2-constant-velocity-where-slope-and-area-first-meet.xml,Chapter-1-draft.txt|Chapter-1-draft.tex|chapter-1-draft.txt|chapter-1.tex,DONE,yes,yes,yes,yes,yes,yes,yes,,Visually verified layout and math formatting via workaround.
sec-1-3-forward-backward-and-signed-motion,section,I,1,1.3,"Forward, backward, and signed motion",source/chapters/ch01-velocity-distance-and-the-first-shape-of-calculus/sections/sec-1-3-forward-backward-and-signed-motion.xml,Chapter-1-draft.txt|Chapter-1-draft.tex|chapter-1-draft.txt|chapter-1.tex,DONE,yes,yes,yes,yes,yes,yes,yes,,Visually verified layout and math formatting via workaround.
sec-1-4-calculus-without-limits-finite-differences-and-finite-sums,section,I,1,1.4,Calculus without limits: finite differences and finite sums,source/chapters/ch01-velocity-distance-and-the-first-shape-of-calculus/sections/sec-1-4-calculus-without-limits-finite-differences-and-finite-sums.xml,Chapter-1-draft.txt|Chapter-1-draft.tex|chapter-1-draft.txt|chapter-1.tex,DONE,yes,yes,yes,yes,yes,yes,yes,,Visually verified layout and math formatting with visual_qa.py.
sec-1-5-changing-velocity-and-the-need-for-limits,section,I,1,1.5,Changing velocity and the need for limits,source/chapters/ch01-velocity-distance-and-the-first-shape-of-calculus/sections/sec-1-5-changing-velocity-and-the-need-for-limits.xml,Chapter-1-draft.txt|Chapter-1-draft.tex|chapter-1-draft.txt|chapter-1.tex,DONE,yes,yes,yes,yes,yes,yes,yes,,Visually verified layout and math formatting with visual_qa.py.
sec-1-6-a-first-map-of-the-book,section,I,1,1.6,A first map of the book,source/chapters/ch01-velocity-distance-and-the-first-shape-of-calculus/sections/sec-1-6-a-first-map-of-the-book.xml,Chapter-1-draft.txt|Chapter-1-draft.tex|chapter-1-draft.txt|chapter-1.tex,DONE,yes,yes,yes,yes,yes,yes,yes,,Visually verified layout and math formatting with visual_qa.py.
sec-1-7-discovery-problems-and-projects,section,I,1,1.7,Discovery problems and projects,source/chapters/ch01-velocity-distance-and-the-first-shape-of-calculus/sections/sec-1-7-discovery-problems-and-projects.xml,Chapter-1-draft.txt|Chapter-1-draft.tex|chapter-1-draft.txt|chapter-1.tex,DONE,yes,yes,yes,yes,yes,yes,yes,,Visually verified layout and math formatting with visual_qa.py.
